year-of-birth;party;last-name;first-name;is-followed-by-us;twitter-handle
1960;CDU;Rief; Josef;FALSCH;null
1935;CDU;Riesenhuber; Heinz;FALSCH;null
1962;SPD;Rimkus; Andreas;WAHR;@SPDuesseldorf
1959;CDU;Ripsam; Iris;FALSCH;null
1975;SPD;Rix;Sînke;WAHR;@SoenkeRix
1959;SPD;Rode-Bosse; Petra;FALSCH;null
1986;SPD;Rohde; Dennis;WAHR;@DennisRohde
1959;CDU;Rîring; Johannes;FALSCH;null
1970;CDU;Rîsel; Kathrin;FALSCH;null
1976;SPD;Rosemann; Martin;WAHR;@MartinRosemann
1964;SPD;Rîspel; RenÇ;FALSCH;null
1951;SPD;Rossmann; Ernst Dieter;FALSCH;null
1966;GRöNE;Rî·ner; Tabea;WAHR;@TabeaRoessner
1955;GRöNE;Roth; Claudia;FALSCH;null
1970;SPD;Roth; Michael;WAHR;@MiRo_SPD
1965;CDU;Rîttgen; Norbert;FALSCH;null
1955;CDU;RÅddel;Erwin;WAHR;@Erwin_Rueddel
1975;GRöNE;RÅffer; Corinna;WAHR;@crueffer
1968;CSU;Rupprecht; Albert;FALSCH;null
1977;SPD;RÅthrich; Susann;WAHR;@SusannRuethrich
1968;SPD;RÅtzel; Bernd;FALSCH;null
1983;SPD;Ryglewski; Sarah;FALSCH;null
1967;SPD;Saathoff; Johann;FALSCH;null
1982;GRöNE;Sarrazin; Manuel;WAHR;@ManuelSarrazin
1953;SPD;Sawade; Annette;WAHR;@AnnetteSawade
1952;SPD;Schabedoth; Hans-Joachim;FALSCH;null
1951;CDU;SchÑfer; Anita;FALSCH;null
1952;SPD;SchÑfer; Axel;FALSCH;null
1963;GRöNE;Scharfenberg; Elisabeth;FALSCH;null
1942;CDU;SchÑuble; Wolfgang;WAHR;@Wolf_Schauble
1966;GRöNE;Schauws; Ursula (Ulle);WAHR;@ulle_schauws
1955;CDU;Schavan; Annette;WAHR;@AnnetteSchavan
1971;SPD;Scheer; Nina;FALSCH;null
1974;CSU;Scheuer; Andreas;WAHR;@AndiScheuer
1972;GRöNE;Schick; Gerhard;WAHR;@SchickGerhard
1962;SPD;Schieder; Marianne;FALSCH;null
1959;SPD;Schiefner; Udo;FALSCH;null
1951;CDU;Schiewerling; Karl;FALSCH;null
1979;CDU;Schimke; Jana;FALSCH;null
1949;CDU;Schindler; Norbert;FALSCH;null
1976;CDU;Schipanski; Tankred;WAHR; @Tschipanski
1951;DIE LINKE;Schlecht; Michael;FALSCH;undefined
1959;SPD;Schlegel; Dorothee;FALSCH;undefined
1970;CDU;Schmelzle; Heiko;WAHR; @Heiko_Schmelzle
1957;CSU;Schmidt; Christian;FALSCH;undefined
1973;SPD;Schmidt; Dagmar;WAHR; @dieschmidt
1953;GRöNE;Schmidt; Frithjof;FALSCH;undefined
1956;CDU;Schmidt; Gabriele;FALSCH;undefined
1963;SPD;Schmidt; Matthias;WAHR; @schmidt_mdb
1949;SPD;Schmidt; Ulla;FALSCH;undefined
1989;CDU;Schmitt; Ronja;FALSCH;undefined
1976;SPD;Schneider; Carsten;WAHR;  @schneidercar
1968;CDU;Schnieder; Patrick;WAHR; @PSchnieder
1952;SPD;Scho-Antwerpes; Elfi;WAHR;  @Elfi_Scho_A
1957;CDU;Schockenhoff; Andreas;FALSCH;undefined
1983;CDU;Schon; Nadine;WAHR; @NadineSchoen
1977;CDU;Schroder; Kristina;WAHR; @schroeder_k
1971;CDU;Schroder; Ole;FALSCH;undefined
1952;SPD;Schulte; Ursula;FALSCH;undefined
1951;CDU;Schulte-DrÅggelte; Bernhard;FALSCH;undefined
1968;SPD;Schulz; Swen;WAHR; @swenschulz
1956;GRöNE;Schulz Asche; Kordula;WAHR; @K_SA
1954;CDU;Schulze; Klauspeter;FALSCH;undefined
1957;CDU;Schummer; Uwe;WAHR; @UweSchummer
1954;SPD;Schurer; Ewald;FALSCH;undefined
1961;CDU;Schuster; Armin;WAHR;@armin_schuster
1970;SPD;Schwabe; Frank;WAHR;@FrankSchwabe
1974;SPD;Schwartze; Stefan;WAHR;@s_schwartze
1965;SPD;Schwarz; Andreas;WAHR;@Schwarz_MdB
1962;SPD;Schwarzeluhrsutter; Rita;FALSCH;undefined
1976;CDU;Schwarzer; Christina;WAHR;@TinaSchwarzer
1962;CDU;Seif; Detlef;FALSCH;undefined
1956;CDU;Selle; Johannes;FALSCH;undefined
1952;CDU;Sendker; Reinhold;FALSCH;undefined
1971;CDU;Sensburg; Patrick Ernst;FALSCH;undefined
1949;CDU;Siebert; Bernd;WAHR;@BerndSiebert
1959;SPD;Sieling; Carsten;FALSCH;undefined
1968;CSU;Silberhorn; Thomas;FALSCH;undefined
1953;CSU;Singhammer; Johannes;WAHR;@JohannesSingham
1960;DIE LINKE;Sitte; Petra;WAHR;@Petra_Sitte_MdB
1975;CDU;Sorge; Tino;WAHR;@TinoSorge
1980;CDU;Spahn; Jens;WAHR;@jensspahn
1956;SPD;Spiering; Rainer;FALSCH;undefined
1957;SPD;Spinrath; Norbert;WAHR;@SpinrathNorbert
1976;SPD;Stadler; Svenja;WAHR;@stadler_svenja
1965;SPD;Stamm-Fibich; Martina;WAHR;@stamm_fibich
1952;CDU;Stauche; Carola;FALSCH;undefined
1966;CDU;Steffel; Frank;WAHR;@franksteffel
1963;SPD;Steffen; Sonja;WAHR;@SteffenSonja
1985;CSU;Stefinger; Wolfgang;WAHR;@StefingerMdB
1976;CDU;Stegemann; Albert;FALSCH;undefined
1968;CDU;Stein; Peter;WAHR;@Peter_Stein_CDU
1943;CDU;Steinbach; Erika;WAHR;@SteinbachErika
1947;SPD;Steinbruck; Peer;FALSCH;undefined
1973;CDU;Steineke; Sebastian;WAHR;@SteinekeCDU
1987;CDU;Steininger; Johannes;FALSCH;undefined
1958;DIE LINKE;Steinke; Kersten;WAHR;
1956;SPD;Steinmeier; Frankwalter;FALSCH;undefined
1970;CDU;Stetten; Christian von;FALSCH;undefined
1964;CDU;Stier; Dieter;WAHR;@DieterStier
1967;CDU;Stockhofe; Rita;FALSCH;undefined
1958;CDU;Storjohann; Gero;WAHR;@gero_storjohann
1974;CSU;Stracke; Stephan;FALSCH;undefined
1949;SPD;Strasser; Christoph;FALSCH;undefined
1954;CSU;Straubinger; Max;FALSCH;undefined
1952;CSU;Strebl; Matthaus;FALSCH;undefined
1964;GRöNE;Strengmann-Kuhn; Wolfgang;WAHR;@W_SK
1967;CDU;Strenz; Karin;FALSCH;undefined
1957;CDU;Stritzl; Thomas;FALSCH;undefined
1939;GRöNE;Strobele; Hanschristian;FALSCH;undefined
1960;CDU;Strobl; Thomas;FALSCH;undefined
1952;CDU;Strothmann; Lena;FALSCH;undefined
1959;CDU;Stubgen; Michael;FALSCH;undefined
1958;CDU;SÅtterlin-Waack; Sabine;FALSCH;undefined
1968;SPD;Tack; Kerstin;WAHR;@kerstin_tack
1960;DIE LINKE;Tackmann; Kirsten;WAHR;@KirstenTackmann
1950;DIE LINKE;Tank; Azize;FALSCH;undefined
1974;CDU;Tauber; Peter;WAHR;@petertauber
1964;SPD;Tausend; Claudia;FALSCH;undefined
1969;DIE LINKE;Tempel; Frank;WAHR;@frank_tempel
1954;GRöNE;Terpe; Harald;WAHR;@terpeundteam
1964;SPD;Thews; Michael;WAHR;@michael_thews
1960;SPD;Thissen; Karin;FALSCH;undefined
1954;SPD;Thonnes; Franz;FALSCH;undefined
1955;SPD;Tiefensee; Wolfgang;WAHR;@WTiefensee
1964;CDU;Tillmann; Antje;FALSCH;undefined
1963;CDU;Timmermann-Fechter; Astrid;FALSCH;undefined
1973;SPD;Trager; Carsten;FALSCH;undefined
1977;GRöNE;Tressel; Markus;WAHR;@MarkusTressel
1954;GRöNE;Trittin; JÅrgen;WAHR;@JTrittin
1954;DIE LINKE;Troost; Axel;WAHR;@axel_troost
1944;CSU;Uhl; Hans-Peter;FALSCH;undefined
1975;CSU;Ullrich; Volker Michael;FALSCH;undefined
1971;DIE LINKE;Ulrich; Alexander;FALSCH;undefined
1955;CDU;Vaatz; Arnold;FALSCH;undefined
1949;SPD;Veit; Rudiger;FALSCH;undefined
1961;CDU;Veith; Oswin;FALSCH;undefined
1979;GRöNE;Verlinden; Julia;WAHR;@julia_verlinden
1973;CDU;Viesehon; Thomas;FALSCH;undefined
1968;CDU;Vietz; Michael;WAHR;@michaelvietz
1959;CDU;Vogel; Volkmar;WAHR;undefined
1963;DIE LINKE;Vogler; Kathrin;WAHR;@voglerk
1964;SPD;Vogt; Ute;WAHR;@UteVogt
1976;CDU;Volmering; Sven;WAHR;@SvenVolmering
1971;SPD;Vopel; Dirk;FALSCH;undefined
1961;CDU;Vossbeck-Kayser; Christel;FALSCH;undefined
1955;CDU;Vries; Kees de;FALSCH;undefined
1963;CDU;Wadephul; Johann;WAHR;@JoeWadephul
1946;CDU;Wange; Karl-Heinz;FALSCH;undefined
1969;DIE LINKE;Wagenknecht; Sahra;WAHR;@SWagenknecht
1963;GRöNE;Wagner; Doris;WAHR;@DorisWagner_MdB
1964;GRöNE;Walterrosenheimer; Beate;FALSCH;undefined
1975;CDU;Wanderwitz; Marco;WAHR;@wanderwitz
1979;CDU;Warken; Nina;WAHR;@ninawarken
1973;DIE LINKE;Wawzyniak; Halina;WAHR;@Halina_Waw
1955;SPD;Weber; Gabi;WAHR;@GabiWeberSPD
1972;CDU;Wegner; Kai;WAHR;@kaiwegner
1965;CDU;Weiler; Albert;FALSCH;undefined
1957;DIE LINKE;Weinberg; Harald;FALSCH;undefined
1967;CDU;Weinberg; Marcus;WAHR;@MarcusWeinberg
1976;CSU;Weisgerber; Anja;WAHR;@anjaweisgerber
1956;CDU;Weiss; Peter;FALSCH;undefined
1958;CDU;Weiss; Sabine;FALSCH;undefined
1959;CDU;Wellenreuther; Ingo;WAHR;@Wellenreuther
1952;CDU;Wellmann; Karlgeorg;FALSCH;undefined
1985;CDU;Wendt; Marian;WAHR;@MdbWendt
1973;DIE LINKE;Werner; Katrin;WAHR;@Katrin_Werner
1953;CDU;Westermayer; Waldemar;FALSCH;undefined
1960;SPD;Westphal; Bernd;FALSCH;undefined
1985;CDU;Whittaker; Kai;WAHR;@Kai_Whittaker
1949;CDU;Wichtel; Peter;FALSCH;undefined
1958;SPD;Wicklein; Andrea;WAHR;@AndreaWicklein
1966;CDU;Widmannmauz; Annette;WAHR;@AWidmannMauz
1983;SPD;Wiese; Dirk ;FALSCH;undefined
1945;CDU;Wiese; Heinz;FALSCH;undefined
1961;CDU;Willsch; Klauspeter;FALSCH;undefined
1954;GRöNE;Wilms; Valerie;WAHR;@WilmsVal
1962;CDU;Winkelmeierbecker; Elisabeth;FALSCH;undefined
1966;CDU;Wittke; Oliver;FALSCH;undefined
1954;CSU;Wohrl; Dagmar;WAHR;@DWoehrl
1956;SPD;Wolff; Waltraud;WAHR;@waltraud_wolff
1950;DIE LINKE;Wollert; Birgit;FALSCH;undefined
1957;CDU;Woltmann; Barbara;FALSCH;undefined
1960;DIE LINKE;Wunderlich; Jorn;FALSCH;undefined
1962;SPD;Yuksel; GÅlistan;FALSCH;undefined
1954;DIE LINKE;Zdebel; Hubertus;WAHR;@ZdebelHubertus
1981;CSU;Zech; Tobias;FALSCH;undefined
1957;CDU;Zertik; Heinrich;FALSCH;undefined
1987;CSU;Zeulner; Emmi;FALSCH;undefined
1960;SPD;Ziegler; Dagmar;WAHR;@ZieglerMdB
1970;SPD;Zierke; Stefan;WAHR;@zierke
1961;CDU;Zimmer; Matthias;FALSCH;undefined
1981;SPD;Zimmermann; Jens;WAHR;@JensZimmermann1
1956;DIE LINKE;Zimmermann; Piabeate;FALSCH;undefined
1960;DIE LINKE;Zimmermann; Sabine;FALSCH;undefined
1950;SPD;Zollmer; Manfred;FALSCH;undefined
1960;CSU;Zollner; Gudrun;WAHR;@GudrunZollner
1953;SPD;Zypries; Brigitte;WAHR;@brigittezypries
;GRöNE;Peter;Simone;WAHR;@peter_simone
;GRöNE;Kellner;Michael;WAHR;@MiKellner
;GRöNE;Habeck;Robert;WAHR;@RobertHabeck
;GRöNE;Agena;Gesine;WAHR;@Gesine_Agena
;;Seibert;Steffen;WAHR;@RegSprecher
;SPD;Stegner;Ralf;WAHR;@Ralf_Stegner
;AfD;von Storch;Beatrix;WAHR;@Beatrix_vStorch
;AfD;Poggenburg;Andre;WAHR;@PoggenburgAndre
;SPD;SchÑfer-GÅmbel;;WAHR;@tsghessen
